"","left_truncation","test_sample","q0.1","q0.25","q0.5","q0.75","q0.9"
"1","No","Observed",0.293044328957056,0.981265816062594,2.67447711467626,5.66742307100725,9.34706600613105
"2","Yes","Observed",0.0868339574212088,0.3913738263918,1.48583841770972,4.11352834326535,8.05136916063491
"3","No","Complete",0.196921541531489,0.684896862752296,1.88575607150306,4.04433135682318,6.82665014250068
"4","Yes","Complete",0.0603659396977402,0.26986155887571,1.02195207042124,2.85686865628571,5.76258330541336
