"","Estimate","Estimation sample","q0.1","q0.25","q0.5","q0.75","q0.9"
"1","True survival","Complete",0.0189662896224965,0.0878290950078662,0.444381966806279,1.71575973227851,5.07083714274473
"2","Right censored adjusted survival","Complete",0.0190467059242123,0.0904633375473182,0.498278286906869,2.34586493962689,7.66660868448788
"3","Right censored adjusted survival","Observed",0.0498663625170292,0.417426099478539,1.70896952120845,4.93946302049452,14.1570509811656
"4","Left truncated and right censored adjusted survival","Observed",0.0149598609976816,0.0766820263949427,0.455141203956235,2.19732028115945,7.37648583163115
