"","Estimate","Estimation sample","q0.1","q0.25","q0.5","q0.75","q0.9"
"1","True survival","Complete",0.0229192036470305,0.112122219899494,0.49044084096468,1.65075756577452,4.30407006569238
"2","Right censored adjusted survival","Complete",0.0231312364757017,0.11268638718197,0.502658627868981,2.02684038938069,6.15750900664243
"3","Right censored adjusted survival","Observed",0.0706181564320136,0.415389771588603,1.46234446722516,4.40820827016783,11.3502419282781
"4","Left truncated and right censored adjusted survival","Observed",0.0254342090868553,0.107942872941522,0.509935318324617,1.99278424304805,6.2662787679759
