"","left_truncation","test_sample","q0.1","q0.25","q0.5","q0.75","q0.9"
"1","No","Observed",0.259413512160745,0.901466126709333,2.50883614359993,5.45256571532245,9.19236953292317
"2","Yes","Observed",0.0777822563564899,0.355846797406038,1.37666217735065,3.90222823484908,7.82839576198434
"3","No","Complete",0.177015564664428,0.639304665388761,1.80169190955675,3.95118209749894,6.80210137947207
"4","Yes","Complete",0.055117032391283,0.249133022978072,0.960758369922406,2.74965807778221,5.66199846036093
