"","left_truncation","test_sample","q0.1","q0.25","q0.5","q0.75","q0.9"
"1","No","Observed",0.295713787765475,1.79279420068651,8.63106614836561,25.8757295259513,46.6385107262866
"2","Yes","Observed",0.0252535608953082,0.235965871736115,2.60587303795167,16.6865405705264,44.3691788940442
"3","No","Complete",0.187342662194558,1.16929839337127,5.63329046791542,17.6541497508238,34.3365666455281
"4","Yes","Complete",0.0196273070643992,0.160321592260178,1.71263235151957,11.4176801011766,33.6313087559753
