"","Variable","Truth","RC-adjusted","LTRC-adjusted"
"1","PracticeTypeCOMMUNITY",0.192574873083465,0.232182691629106,0.18666921759494
"2","index_date_year",-0.0759630273681837,-0.0890976683248094,-0.0715056490827247
"3","RaceBlack_or_African_American",0.197558666129757,0.215209474902417,0.169306579092273
"4","RaceOther_Race",0.187197650140515,0.199892500449907,0.154743701222761
"5","RaceWhite",0.433785828758122,0.495332721344002,0.391864452641881
"6","age_at_dx",0.00699295269239166,0.00793549012378164,0.005191282743559
"7","RE_TP53",0.0269655781098254,0.0320210903090509,0.0239330623652373
"8","CN_TP53",0.547093257189657,0.669837636935414,0.542210406766574
"9","SV_TP53",0.293850149122592,0.353687506699987,0.286496572116539
"10","SV_KRAS",0.124422300567348,0.148435222046047,0.119791208194169
"11","SV_EGFR",-0.322022408140877,-0.395372070438939,-0.320549680093014
